full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
thedaviddias/Front-End-Checklist,Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,24267,2058,JavaScript,thedaviddias,David Dias,User,"France, Mauritius, Canada",,,,,3.0
GoogleChrome/puppeteer,puppeteer,Headless Chrome Node API,21976,1259,JavaScript,GoogleChrome,,Organization,,,,,,4.0
parcel-bundler/parcel,parcel,"📦🚀 Blazing fast, zero configuration web application bundler",13981,463,JavaScript,parcel-bundler,Parcel,Organization,,,,,,11.0
Chalarangelo/30-seconds-of-code,30-seconds-of-code,Curated collection of useful Javascript snippets that you can understand in 30 seconds or less.,13466,1185,JavaScript,Chalarangelo,Angelos Chalaris,User,"Athens, Greece",37.9838096,23.7275388,Athens,Greece,13.0
wearehive/project-guidelines,project-guidelines,A set of best practices for JavaScript projects,11279,970,JavaScript,wearehive,Hive,Organization,London,51.5073509,-0.12775830000000002,London,United Kingdom,16.0
airbnb/react-sketchapp,react-sketchapp,render React components to Sketch ⚛️💎,10259,504,JavaScript,airbnb,Airbnb,Organization,San Francisco,37.7749295,-122.4194155,San Francisco,United States,18.0
denysdovhan/wtfjs,wtfjs,A list of funny and tricky JavaScript examples,10107,610,JavaScript,denysdovhan,Denys Dovhan,User,"Ukraine, Chernivtsi",48.2920787,25.9358367,Chernivtsi,Ukraine,20.0
frappe/charts,charts,"📊🍩📈 Simple, responsive, modern SVG Charts with zero dependencies",10021,351,JavaScript,frappe,Frappé,Organization,"Mumbai, India",19.0759837,72.87765590000001,Mumbai,India,21.0
grab/front-end-guide,front-end-guide,📚 Study guide and introduction to the modern front end stack.,9822,670,JavaScript,grab,Grab,Organization,Singapore,,,,,22.0
Shopify/draggable,draggable,The JavaScript Drag & Drop library your grandparents warned you about.,9594,346,JavaScript,Shopify,Shopify,Organization,,,,,,23.0
jeromeetienne/AR.js,AR.js,Efficient Augmented Reality for the Web - 60fps on mobile!,9242,786,JavaScript,jeromeetienne,Jerome Etienne,User,"Dublin, Ireland",53.34980529999999,-6.2603097000000005,Dublin,Ireland,25.0
react-navigation/react-navigation,react-navigation,"Learn once, navigate anywhere",8760,1978,JavaScript,react-navigation,React Navigation,Organization,,,,,,29.0
hyperapp/hyperapp,hyperapp,1 KB JavaScript library for building frontend applications.,8342,366,JavaScript,hyperapp,Hyperapp,Organization,,,,,,32.0
react-community/create-react-native-app,create-react-native-app,Create a React Native app on any OS with no build config.,7670,633,JavaScript,react-community,React Community,Organization,,,,,,35.0
airbnb/lottie-react-native,lottie-react-native,Lottie wrapper for React Native.,7638,594,JavaScript,airbnb,Airbnb,Organization,San Francisco,37.7749295,-122.4194155,San Francisco,United States,37.0
reactide/reactide,reactide,Reactide is the first dedicated IDE for React web application development. http://reactide.io,7372,395,JavaScript,reactide,reactide,Organization,,,,,,41.0
poteto/hiring-without-whiteboards,hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process,7369,822,JavaScript,poteto,Lauren Tan,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,42.0
apache/incubator-weex,incubator-weex,Mirror of Apache Weex,7070,966,JavaScript,apache,The Apache Software Foundation,Organization,,,,,,44.0
jaredreich/pell,pell,"📝 the simplest and smallest (1kB) WYSIWYG text editor for web, with no dependencies",6778,298,JavaScript,jaredreich,Jared Reich,User,"Alberta, Canada",53.9332706,-116.57650349999999,,Canada,49.0
aksakalli/gtop,gtop,System monitoring dashboard for terminal,6484,218,JavaScript,aksakalli,Can Güney Aksakalli,User,"Bonn, Germany",,,,,53.0
ant-design/ant-design-pro,ant-design-pro,👨🏻‍💻👩🏻‍💻 An out-of-box UI solution for enterprise applications,5671,784,JavaScript,ant-design,,Organization,,,,,,67.0
